,Construction_Notes,From,District,Permit,Work_Schedule,Contractor,Trench_Length,To,Roadway_Plates_In_Use,Address_1,Address_2,Status,ExpirationDate,Intersection,Permittee,Sidewalk_Plates_In_Use,Project_Category,Estimated_Completion_Date,NumberOfWorkZones,Contact_Number,Neighborhood,Street,_id
283,GAS LEAK REPAIR,,07,EXCA-1441632,Days & Weekends,National Grid,,,,8,,ONGOING SECTIONS TOPPED TO GRADE,2023-03-17 00:00:00,,National Grid,,MAINTENANCE,2023-03-17 00:00:00,1,877-304-1203,SOUTH DORCHESTER/MATTAPAN,VAN WINKLE ST,284
284,GAS LEAK REPAIR,,07,EXCA-1441638,Days & Weekends,National Grid,,,,120,,ONGOING SECTIONS TOPPED TO GRADE,2023-03-17 00:00:00,,National Grid,,MAINTENANCE,2023-03-17 00:00:00,1,877-304-1203,SOUTH DORCHESTER/MATTAPAN,WELLINGTON HILL AV,285
285,GAS LEAK REPAIR,,07,EXCA-1441626,Days & Weekends,National Grid,,,,39,,ONGOING SECTIONS TOPPED TO GRADE,2023-03-17 00:00:00,,National Grid,,MAINTENANCE,2023-03-17 00:00:00,1,877-304-1203,SOUTH DORCHESTER/MATTAPAN,THETFORD AV,286
286,Service Repair (Leak on Service),,07,EMER-1442351,Days & Weekends,Metro Equipment Corp,,,,656,,ONGOING SECTIONS TOPPED TO GRADE,,,Boston Water & Sewer Commission,,EMERGENCY,,1,1-617-989 70,SOUTH DORCHESTER/MATTAPAN,WASHINGTON ST,287
287,Casting Repair - Public Safety Concern,,07,EMER-1442343,Days & Weekends,Steven Companies,,,,,,ONGOING SECTIONS TOPPED TO GRADE,,,Boston Water & Sewer Commission,,EMERGENCY,,1,1-617-989 70,SOUTH DORCHESTER/MATTAPAN,MILLET ST,288
288,,,07,EXCA-1446825,Days & Weekends,National Grid,,,,1736,,,2023-04-13 00:00:00,,National Grid,,MAINTENANCE,2023-04-13 00:00:00,1,877-304-1203,SOUTH DORCHESTER/MATTAPAN,DORCHESTER AV,289
289,,,07,EXCA-1446818,Days & Weekends,National Grid,,,,94,,,2023-04-13 00:00:00,,National Grid,,MAINTENANCE,2023-04-13 00:00:00,1,877-304-1203,SOUTH DORCHESTER/MATTAPAN,CENTRE ST,290
290,,,07,EXCA-1446839,Days & Weekends,National Grid,,,,142,,,2023-04-13 00:00:00,,National Grid,,MAINTENANCE,2023-04-13 00:00:00,1,877-304-1203,SOUTH DORCHESTER/MATTAPAN,WELLES AV,291
291,,,07,EXCA-1446833,Days & Weekends,National Grid,,,,299,,,2023-04-13 00:00:00,,National Grid,,MAINTENANCE,2023-04-13 00:00:00,1,877-304-1203,SOUTH DORCHESTER/MATTAPAN,RIVER ST,292
292,,,07,EXCA-1446831,Days & Weekends,Feeney Brothers Excavation,,,,33,,,2023-04-13 00:00:00,,National Grid,,NEW CONDUIT AND/OR MAIN,2023-04-13 00:00:00,1,877-304-1203,SOUTH DORCHESTER/MATTAPAN,MINOT ST,293
293,,,07,EMER-1436137,Days & Weekends,Riley Brothers,,,,594,,,2023-03-17 00:00:00,,Eversource Electric,,EMERGENCY,2023-03-17 00:00:00,1,800-592-2000,SOUTH DORCHESTER/MATTAPAN,WALK HILL ST,294
294,Grade 1 Gas Leak,,07,EMER-1365018,Days & Weekends,National Grid,,,,610,,ONGOING SECTIONS TOPPED TO GRADE,,,National Grid,,EMERGENCY,,1,1-877-304 12,SOUTH DORCHESTER/MATTAPAN,PARK ST,295
295,Casting Repair - Public Safety Concern,,07,EMER-1436432,Days & Weekends,Steven Companies,,,,36,,ONGOING SECTIONS TOPPED TO GRADE,,,Boston Water & Sewer Commission,,EMERGENCY,,1,1-617-989 70,SOUTH DORCHESTER/MATTAPAN,WATER ST,296
296,Emergency - Manhole Structural Repair,,07,EMER-E143642,Days & Weekends,STEVEN COMPANIES US LLC ,,,,53,,ONGOING SECTIONS TOPPED TO GRADE,,,Boston Water & Sewer Commission,,EMERGENCY,,1,617-989-7000,SOUTH DORCHESTER/MATTAPAN,RIVER ST,297
297,Grade 1 Gas Leak,,07,EMER-1376342,Days & Weekends,National Grid,,,,105,,ONGOING SECTIONS TOPPED TO GRADE,,,National Grid,,EMERGENCY,,1,1-877-304 12,SOUTH DORCHESTER/MATTAPAN,MATTAPAN ST,298
298,Service Repair (Leak on Service),,07,EMER-1436436,Days & Weekends,Metro Equipment Corp,,,,130,,ONGOING SECTIONS TOPPED TO GRADE,,,Boston Water & Sewer Commission,,EMERGENCY,,1,1-617-989 70,SOUTH DORCHESTER/MATTAPAN,ORMOND ST,299
299,Casting Repair - Public Safety Concern,,07,EMER-1436431,Days & Weekends,Steven Companies ,,,,,,ONGOING SECTIONS TOPPED TO GRADE,,,Boston Water & Sewer Commission,,EMERGENCY,,1,1-617-989 70,SOUTH DORCHESTER/MATTAPAN,CONLEY ST,300
300,,,07,EXCA-1443305,Days & Weekends,National Grid,,,,55,,,2023-03-22 00:00:00,,National Grid,,MAINTENANCE,2023-03-22 00:00:00,1,877-304-1203,SOUTH DORCHESTER/MATTAPAN,SHEPTON ST,301
301,,,07,EXCA-1443287,Days & Weekends,National Grid,,,,20,,,2023-03-30 00:00:00,,National Grid,,MAINTENANCE,2023-03-30 00:00:00,1,877-304-1203,SOUTH DORCHESTER/MATTAPAN,BAILEY ST,302
302,,,07,EXCA-1442691,Days & Weekends,P V Barone,,,,1725,,,2023-03-24 00:00:00,ST MARKS RD,Comcast,,MAINTENANCE,2023-03-24 00:00:00,1,857-919-9355,SOUTH DORCHESTER/MATTAPAN,DORCHESTER AV,303
303,,,07,EXCA-1442688,Days & Weekends,PV Barone,,,,6,,,2023-03-24 00:00:00,,Comcast,,MAINTENANCE,2023-03-24 00:00:00,1,857-919-9355,SOUTH DORCHESTER/MATTAPAN,ST MARKS RD,304
304,Sewer Repair (Broken Sewer),,07,EMER-1442339,Days & Weekends,C Naughton Corp,,,,25,,ONGOING SECTIONS TOPPED TO GRADE,,,Boston Water & Sewer Commission,,EMERGENCY,,1,1-617-989 70,SOUTH DORCHESTER/MATTAPAN,ORLANDO ST,305
305,Casting Repair - Public Safety Concern,,07,EMER-1442338,Days & Weekends,Steven Companies,,,,21,,ONGOING SECTIONS TOPPED TO GRADE,,,Boston Water & Sewer Commission,,EMERGENCY,,1,1-617-989 70,SOUTH DORCHESTER/MATTAPAN,ASHTON ST,306
306,Grade 1 Gas Leak,,07,EMER-1365032,Days & Weekends,National Grid,,,,131,,ONGOING SECTIONS TOPPED TO GRADE,,,National Grid,,EMERGENCY,,1,1-877-304 12,SOUTH DORCHESTER/MATTAPAN,MILTON ST,307
307,Grade 1 Gas Leak,,07,EMER-1365031,Days & Weekends,National Grid,,,,566,,ONGOING SECTIONS TOPPED TO GRADE,,,National Grid,,EMERGENCY,,1,1-877-304 12,SOUTH DORCHESTER/MATTAPAN,NORFOLK ST,308
308,,,07,EXCA-1445003,Days & Weekends,National Grid,,,,18,,,2023-04-06 00:00:00,,National Grid,,MAINTENANCE,2023-04-06 00:00:00,1,877-304-1203,SOUTH DORCHESTER/MATTAPAN,WHITRIDGE ST,309
309,Service Repair (Leak on Service),,07,EMER-1442335,Days & Weekends,Metro Equipment Corp,,,,49,,ONGOING SECTIONS TOPPED TO GRADE,,,Boston Water & Sewer Commission,,EMERGENCY,,1,1-617-989 70,SOUTH DORCHESTER/MATTAPAN,MOUNTAIN AV,310
310,Emergency - Cable Replacement,,06,EMER-1436144,Days & Weekends,Sheerin Construction and b,,,,424,,ONGOING SECTIONS TOPPED TO GRADE,,,Eversource Electric,,EMERGENCY,,1,1-800-592 20,WEST ROXBURY/ROSLINDALE,BELGRADE AV,311
311,Grade 1 Gas Leak,,06,EMER-1376345,Days & Weekends,National Grid,,,,1961,,ONGOING SECTIONS TOPPED TO GRADE,,,National Grid,,EMERGENCY,,1,1-877-304 12,WEST ROXBURY/ROSLINDALE,CENTRE ST,312
312,Grade 1 Gas Leak,,06,EMER-1365033,Days & Weekends,National Grid,,,,59,,ONGOING SECTIONS TOPPED TO GRADE,,,National Grid,,EMERGENCY,,1,1-877-304 12,WEST ROXBURY/ROSLINDALE,WOODARD RD,313
313,Dig in Doubt (Leak on Service),,06,EMER-1436427,Days & Weekends,Boston Water & Sewer Commi,,,,75,,ONGOING SECTIONS TOPPED TO GRADE,,,Boston Water & Sewer Commission,,EMERGENCY,,1,617-989-7000,WEST ROXBURY/ROSLINDALE,VERMONT ST,314
314,Grade 1 Gas Leak,,06,EMER-1365029,Days & Weekends,National Grid,,,,2060,,ONGOING SECTIONS TOPPED TO GRADE,,,National Grid,,EMERGENCY,,1,1-877-304 12,WEST ROXBURY/ROSLINDALE,CENTRE ST,315
315,Control Dig & Reset (Leak on Service),,06,EMER-1436430,Days & Weekends,Boston Water & Sewer Commi,,,,17,,ONGOING SECTIONS TOPPED TO GRADE,,,Boston Water & Sewer Commission,,EMERGENCY,,1,1-617-989 70,WEST ROXBURY/ROSLINDALE,ALVESTON ST,316
316,GAS LEAK REPAIR,,06,EXCA-1443292,Days & Weekends,National Grid,,,,619,,,2023-03-22 00:00:00,,National Grid,,MAINTENANCE,2023-03-22 00:00:00,1,877-304-1203,WEST ROXBURY/ROSLINDALE,LAGRANGE ST,317
317,,,06,EXCA-1446939,Days & Weekends,National Grid,,,,21,,,2023-04-13 00:00:00,,National Grid,,MAINTENANCE,2023-04-13 00:00:00,1,877-304-1203,WEST ROXBURY/ROSLINDALE,WALWORTH ST,318
318,,,06,EXCA-1446951,Days & Weekends,National Grid,,,,0,,,2023-04-13 00:00:00,,National Grid,,MAINTENANCE,2023-04-13 00:00:00,1,877-304-1203,WEST ROXBURY/ROSLINDALE,COREY ST,319
319,,,06,EXCA-1446919,Days & Weekends,National Grid,,,,171,,,2023-04-13 00:00:00,,National Grid,,MAINTENANCE,2023-04-13 00:00:00,1,877-304-1203,WEST ROXBURY/ROSLINDALE,WALK HILL ST,320
320,,,06,EXCA-1446936,Days & Weekends,National Grid,,,,15,,,2023-04-13 00:00:00,,National Grid,,MAINTENANCE,2023-04-13 00:00:00,1,877-304-1203,WEST ROXBURY/ROSLINDALE,HEATHCOTE ST,321
321,Sewer Repair (Broken Sewer),,06,EMER-1442342,Days & Weekends,C Naughton Corp,,,,45,,ONGOING SECTIONS TOPPED TO GRADE,,,Boston Water & Sewer Commission,,EMERGENCY,,1,1-617-989 70,WEST ROXBURY/ROSLINDALE,WYCLIFF AV,322
322,Sewer Repair (Broken Sewer),,06,EMER-1442347,Days & Weekends,C Naughton Corp,,,,11,,ONGOING SECTIONS TOPPED TO GRADE,,,Boston Water & Sewer Commission,,EMERGENCY,,1,1-617-989 70,WEST ROXBURY/ROSLINDALE,WYCLIFF AV,323
323,Grade 1 Gas Leak,,06,EMER-1376361,Days & Weekends,National Grid,,,,11,,ONGOING SECTIONS TOPPED TO GRADE,,,National Grid,,EMERGENCY,,1,1-877-304 12,WEST ROXBURY/ROSLINDALE,COURTNEY RD,324
324,Emergency - Service Outage,,06,EMER-1436138,Days & Weekends,Riley Brothers/ Eversource,,,,,,ONGOING SECTIONS TOPPED TO GRADE,,,Eversource Electric,,EMERGENCY,,1,1-800-592 20,WEST ROXBURY/ROSLINDALE,CREST ST,325
325,Grade 1 Gas Leak,,06,EMER-1376364,Days & Weekends,National Grid,,,,55,,ONGOING SECTIONS TOPPED TO GRADE,,,National Grid,,EMERGENCY,,1,1-877-304 12,WEST ROXBURY/ROSLINDALE,CHILTON RD,326
326,Emergency - Cable Repair,,06,EMER-1436139,Days & Weekends,Eversource Electric,,,,25,,ONGOING SECTIONS TOPPED TO GRADE,,,Eversource Electric,,EMERGENCY,,1,1-800-592 20,WEST ROXBURY/ROSLINDALE,LINNETT ST,327
327,,,06,EXCA-1446932,Days & Weekends,National Grid,,,,97,,,2023-04-13 00:00:00,,National Grid,,MAINTENANCE,2023-04-13 00:00:00,1,877-304-1203,WEST ROXBURY/ROSLINDALE,HAWTHORNE ST,328
328,Grade 1 Gas Leak,,06,EMER-1365003,Days & Weekends,National Grid,,,,1961,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-23 00:00:00,,National Grid,,EMERGENCY,2023-02-23 00:00:00,1,877-304-1203,WEST ROXBURY/ROSLINDALE,CENTRE ST,329
329,GAS LEAK REPAIR,,06,EXCA-1436943,Days & Weekends,National Grid,,,,129,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-24 00:00:00,,National Grid,,MAINTENANCE,2023-02-24 00:00:00,1,877-304-1203,WEST ROXBURY/ROSLINDALE,WALWORTH ST,330
330,Grade 1 Gas Leak,,06,EMER-1365005,Days & Weekends,National Grid,,,,285,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-23 00:00:00,,National Grid,,EMERGENCY,2023-02-23 00:00:00,1,877-304-1203,WEST ROXBURY/ROSLINDALE,VERMONT ST,331
331,Maintenance,,06,EXCA-1437997,Days & Weekends,Maverick Construction,,,,70,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-27 00:00:00,,Boston Public Works,,,2023-02-27 00:00:00,1,857-472-0105,WEST ROXBURY/ROSLINDALE,GRAYFIELD ST,332
332,Control Locate (Leak on Service),,06,EMER-1436417,Days & Weekends,Boston Water & Sewer Commi,,,,15,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-24 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-02-24 00:00:00,1,617-989-7000,WEST ROXBURY/ROSLINDALE,COLBERG AV,333
333,GAS LEAK REPAIR,,06,EXCA-1441722,Days & Weekends,National Grid,,,,489,,ONGOING SECTIONS TOPPED TO GRADE,2023-03-17 00:00:00,GLENDOWER,National Grid,,MAINTENANCE,2023-03-17 00:00:00,1,877-304-1203,WEST ROXBURY/ROSLINDALE,POPLAR ST,334
334,GAS LEAK REPAIR,,06,EXCA-1441737,Days & Weekends,National Grid,,,,124,,ONGOING SECTIONS TOPPED TO GRADE,2023-03-17 00:00:00,,National Grid,,MAINTENANCE,2023-03-17 00:00:00,1,877-304-1203,WEST ROXBURY/ROSLINDALE,ANAWAN AV,335
335,INSTALLATION OF GAS SERVICE ON MAPLE ST,,06,EXCA-1436869,Days & Weekends,National Grid,,,,670,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-24 00:00:00,ON MAPLE ST,National Grid,,MAINTENANCE,2023-02-24 00:00:00,1,877-304-1203,WEST ROXBURY/ROSLINDALE,VFW PKWY,336
336,GAS LEAK REPAIR,,06,EXCA-1441740,Days & Weekends,National Grid,,,,839,,,2023-03-17 00:00:00,BASTO TER,National Grid,,MAINTENANCE,2023-03-17 00:00:00,1,877-304-1203,WEST ROXBURY/ROSLINDALE,SOUTH ST,337
337,GAS LEAK REPAIR,,06,EXCA-1441748,Days & Weekends,National Grid,,,,59,,,2023-03-23 00:00:00,,National Grid,,MAINTENANCE,2023-03-23 00:00:00,1,877-304-1203,WEST ROXBURY/ROSLINDALE,FLETCHER ST,338
338,GAS LEAK REPAIR,,06,EXCA-1439945,Days & Weekends,National Grid,,,,19,,,2023-03-16 00:00:00,,National Grid,,MAINTENANCE,2023-03-16 00:00:00,1,877-304-1203,WEST ROXBURY/ROSLINDALE,WILLOWDEAN AV,339
339,Grade 1 Gas Leak,,06,EMER-1364994,Days & Weekends,National Grid,,,,46,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-18 00:00:00,,National Grid,,EMERGENCY,2023-02-23 00:00:00,1,877-304-1203,WEST ROXBURY/ROSLINDALE,LANDSEER ST,340
340,Service Repair (Leak on Service),,06,EMER-1436406,Days & Weekends,Boston Water & Sewer Commi,,,,273,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-22 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-02-23 00:00:00,1,617-989-7000,WEST ROXBURY/ROSLINDALE,BELGRADE AV,341
341,,,06,EXCA-1435431,Days & Weekends,Maverick Construction,,,,379,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-17 00:00:00,,Boston Public Works,,MAINTENANCE,2023-02-17 00:00:00,1,857-472-0105,WEST ROXBURY/ROSLINDALE,CUMMINS HY,342
342,GAS LEAK REPAIR,,06,EXCA-1436936,Days & Weekends,National Grid,,,,118,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-24 00:00:00,,National Grid,,MAINTENANCE,2023-02-24 00:00:00,,877-304-1203,WEST ROXBURY/ROSLINDALE,WALWORTH ST,343
343,,,06,EXCA-1085379,Days & Weekends,National Grid,,,,143,,ONGOING SECTIONS TOPPED TO GRADE,2023-03-15 00:00:00,,National Grid,,MAINTENANCE,2023-03-15 00:00:00,1,877-304-1203,WEST ROXBURY/ROSLINDALE,Dent St,344
344,GAS LEAK REPAIR,,06,EXCA-1436933,Days & Weekends,National Grid,,,,100,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-24 00:00:00,,National Grid,,MAINTENANCE,2023-02-24 00:00:00,1,877-304-1203,WEST ROXBURY/ROSLINDALE,WALWORTH ST,345
345,,,06,EXCA-1436929,Days & Weekends,National Grid,,,,14,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-24 00:00:00,,National Grid,,MAINTENANCE,2023-02-24 00:00:00,1,877-304-1203,WEST ROXBURY/ROSLINDALE,PROSPECT AVE,346
346,Leak Repair (Leak on Street),,06,EMER-1436394,Days & Weekends,Boston Water & Sewer Commi,,,,68,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-15 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-02-15 00:00:00,1,617-989-7000,WEST ROXBURY/ROSLINDALE,BRADEEN ST,347
347,,,06,EXCA-1436938,Days & Weekends,National Grid,,,,93,,,2023-02-28 00:00:00,,National Grid,,MAINTENANCE,2023-02-28 00:00:00,1,877-304-1203,WEST ROXBURY/ROSLINDALE,CLEMENT AV,348
348,Emergency - Service Reroute,,06,EMER-1358833,Days & Weekends,Riley Brothers,,,,1737,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-10 00:00:00,,Eversource Electric,,EMERGENCY,2023-02-10 00:00:00,1,1-800-592 20,WEST ROXBURY/ROSLINDALE,CENTRE ST,349
349,,,06,EXCA-1436948,Days & Weekends,National Grid,,,,123,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-24 00:00:00,,National Grid,,MAINTENANCE,2023-02-24 00:00:00,1,877-304-1203,WEST ROXBURY/ROSLINDALE,CLEMENT AV,350
350,Service Repair (Leak on Service),,06,EMER-1426182,Days & Weekends,Metro Equipment Corp,,,,149,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-10 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-02-10 00:00:00,1,1-617-989 70,WEST ROXBURY/ROSLINDALE,FLORENCE ST,351
351,INSTALLATION OF SERVICES,,06,EXCA-1433376,Days & Weekends,N & M,,,,0,,,2023-02-14 00:00:00,,Boston Water & Sewer Commission,,NEW CONDUIT AND/OR MAIN,2023-02-14 00:00:00,1,617-989-7000,WEST ROXBURY/ROSLINDALE,CANTERBURY ST,352
352,,,06,EXCA-1436869,Days & Weekends,National Grid,,,,240,,,2023-02-24 00:00:00,,National Grid,,MAINTENANCE,2023-02-24 00:00:00,1,877-304-1203,WEST ROXBURY/ROSLINDALE,MAPLE ST,353
353,,,06,EXCA-1436929,Days & Weekends,National Grid,,,,14,,,2023-02-24 00:00:00,,National Grid,,MAINTENANCE,2023-02-24 00:00:00,1,877-304-1203,WEST ROXBURY/ROSLINDALE,PROSPECT AV,354
354,INSTALLATION OF GAS MAIN,,06,EXCA-1378527,Days & Weekends,Feeney Brothers Excavation,,,,73,75,ONGOING SECTIONS DOWN IN BINDER,2023-03-07 00:00:00,,National Grid,,NEW CONDUIT AND/OR MAIN,2023-03-07 00:00:00,1,877-304-1203,WEST ROXBURY/ROSLINDALE,ROSLINDALE AV,355
355,Grade 1 Gas Leak,,06,EMER-1333346,Days & Weekends,National Grid,,,,32,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-08 00:00:00,,National Grid,,EMERGENCY,2023-02-08 00:00:00,1,1-877-304 12,WEST ROXBURY/ROSLINDALE,NEPONSET AV,356
356,,,06,EXCA-1436938,Days & Weekends,National Grid,,,,93,,,2023-02-28 00:00:00,,National Grid,,MAINTENANCE,2023-02-28 00:00:00,1,877-304-1203,WEST ROXBURY/ROSLINDALE,CLEMENT AV,357
357,,,06,EXCA-1433540,Days & Weekends,National Grid,,,,37,,,2023-02-08 00:00:00,,National Grid,,MAINTENANCE,2023-02-08 00:00:00,1,877-304-1203,WEST ROXBURY/ROSLINDALE,MT CALVARY RD,358
358,,,06,EXCA-1433582,Days & Weekends,National Grid,,,,60,,,2023-02-08 00:00:00,,National Grid,,MAINTENANCE,2023-02-08 00:00:00,1,877-304-1203,WEST ROXBURY/ROSLINDALE,NEWBURG ST,359
359,INSTALLATION OF GAS MAIN,,06,EXCA-1407909,Days & Weekends,Feeney Brothers Excavation,1600,,,6,105,ONGOING SECTIONS TOPPED TO GRADE,2023-03-07 00:00:00,,National Grid,,NEW CONDUIT AND/OR MAIN,2023-03-07 00:00:00,1,877-304-1203,WEST ROXBURY/ROSLINDALE,KEITH ST,360
360,CONDUIT REPAIR,,06,EXCA-1433427,Days & Weekends,Danella Line Co,25,,,450,,,2023-02-07 00:00:00,,Verizon,,MAINTENANCE,2023-02-07 00:00:00,1,800-446-8946,WEST ROXBURY/ROSLINDALE,BELGRADE AV,361
361,INSTALLATION OF HANDHOLE AND BASE,,06,EXCA-1434324,Days & Weekends,Maverick Construction,,,,218,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-09 00:00:00,,Boston Public Works,,SERVICE,2023-02-09 00:00:00,1,857-472-0105,WEST ROXBURY/ROSLINDALE,SHERMAN RD,362
362,Service Repair (Leak on Service),,06,EMER-1426161,Days & Weekends,Metro Equipment Corp,,,,132,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-02 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-02-04 00:00:00,1,1-617-989 70,WEST ROXBURY/ROSLINDALE,SELWYN ST,363
363,Leak Repair (Leak on Street),,06,EMER-1426162,Days & Weekends,Boston Water & Sewer Commi,,,,12,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-05 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-02-04 00:00:00,1,1-617-989 70,WEST ROXBURY/ROSLINDALE,AVALON RD,364
364,Sewer Repair (Broken Sewer),,06,EMER-1426163,Days & Weekends,Boston Water & Sewer Commi,,,,430,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-05 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-02-08 00:00:00,1,1-617-989 70,WEST ROXBURY/ROSLINDALE,LA GRANGE ST,365
365,Casting Repair - Public Safety Concern,,06,EMER-1426166,Days & Weekends,GIUGLIANO,,,,9,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-04 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-02-08 00:00:00,1,1-617-989 70,WEST ROXBURY/ROSLINDALE,CEDARCREST RD,366
366,Hydrant Repair (Inoperable Hydrant),,06,EMER-1426145,Days & Weekends,Metro Equipment Corp,,,,59,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-01 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-02-01 00:00:00,1,1-617-989 70,WEST ROXBURY/ROSLINDALE,CHARME AV,367
367,Sewer Repair (Broken Sewer),,06,EMER-00000,Days & Weekends,"Sean Farrell Excavation, I",,,,39,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-01 00:00:00,,"Sean Farrell Excavation, Inc.",,EMERGENCY,2023-02-01 00:00:00,1,1-617-472 20,WEST ROXBURY/ROSLINDALE,ELGIN ST,368
368,INSTALLATION OF GAS SERVICE,,06,EXCA-1433602,Days & Weekends,National Grid,,,,36,,,2023-02-10 00:00:00,,National Grid,,MAINTENANCE,2023-02-10 00:00:00,1,877-304-1203,WEST ROXBURY/ROSLINDALE,MURRAY HILL RD,369
369,GAS LEAK REPAIR,,06,EXCA-1433583,Days & Weekends,National Grid,,,,108,,,2023-02-08 00:00:00,PARKLAWN,National Grid,,MAINTENANCE,2023-02-08 00:00:00,1,877-304-1203,WEST ROXBURY/ROSLINDALE,CHURCH ST,370
370,GAS LEAK REPAIR,,06,EXCA-1433577,Days & Weekends,National Grid,,,,30,,,2023-02-08 00:00:00,,National Grid,,MAINTENANCE,2023-02-08 00:00:00,1,877-304-1203,WEST ROXBURY/ROSLINDALE,MENDELSOHN ST,371
371,INSTALL WATER SERVICE,,06,EXCA-1432318,Days & Weekends,Ronan 953 LLC,,,,512,514,ONGOING SECTIONS TOPPED TO GRADE,2023-02-02 00:00:00,,Ronan 953 LLC,,NEW CONDUIT AND/OR MAIN,2023-02-08 00:00:00,1,617-510-1013,WEST ROXBURY/ROSLINDALE,POPLAR ST,372
372,Grade 1 Gas Leak,,06,EMER-1323868,Days & Weekends,National Grid,,,,442,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-24 00:00:00,,National Grid,,EMERGENCY,2023-01-24 00:00:00,1,1-877-304 12,WEST ROXBURY/ROSLINDALE,POPLAR ST ,373
373,Grade 1 Gas Leak,,06,EMER-1323871,Days & Weekends,National Grid,,,,151,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-26 00:00:00,,National Grid,,EMERGENCY,2023-01-26 00:00:00,1,1-877-304 12,WEST ROXBURY/ROSLINDALE,MANTHORNE RD ,374
374,Service Repair (Leak on Service),,06,EMER-1424079,Days & Weekends,Metro Equipment Corp,,,,21,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-18 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-01-19 00:00:00,1,617-989-7000,WEST ROXBURY/ROSLINDALE,BERTSON AV,375
375,Grade 1 Gas Leak,,05,EMER-1323276,Days & Weekends,National Grid,,,,320,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-07 00:00:00,,National Grid,,EMERGENCY,2023-01-07 00:00:00,1,1-877-304 12,SOUTH BOSTON,DORCHESTER AVE,376
376,Emergency Fire Pipe Repair,,06,EMER-000000,Days & Weekends,"Sean Farrell Excavation, I",,,,426,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-19 00:00:00,,"Sean Farrell Excavation, Inc.",,EMERGENCY,2023-01-19 00:00:00,1,617-293-7660,WEST ROXBURY/ROSLINDALE,BELGRADE AV,377
377,Service Repair (Leak on Service),,06,EMER-1424069,Days & Weekends,Boston Water & Sewer Commi,,,,385,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-19 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-01-19 00:00:00,1,1-617-989 70,WEST ROXBURY/ROSLINDALE,PARK ST,378
378,GAS LEAK REPAIR,,06,EXCA-1428721,Days & Weekends,National Grid,,,,38,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-03 00:00:00,,National Grid,,MAINTENANCE,2023-02-03 00:00:00,1,877-304-1203,WEST ROXBURY/ROSLINDALE,CEDRUS AVE,379
379,GAS LEAK REPAIR,,06,EXCA-1428839,Days & Weekends,National Grid,,,,437,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-04 00:00:00,,National Grid,,MAINTENANCE,2023-02-04 00:00:00,1,877-304-1203,WEST ROXBURY/ROSLINDALE,BEECH ST,380
380,INSTALL HANDHOLE,,06,EXCA-1432334,Days & Weekends,Maverick Construction,,,,44,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-16 00:00:00,,Boston Public Works,,MAINTENANCE,2023-02-16 00:00:00,1,857-472-0105,WEST ROXBURY/ROSLINDALE,PIERPONT RD,381
